iso3,date,obesity_prevalence,diabetes_treatment,polluting_cooking_fuels,hypertension_treatment,mean_years_schooling,expected_years_schooling,alcohol_consumption,life_expectancy
AUT,2021,15.1871905,60.569700999999995,0.0,34.85,12.241111111111111,15.893555555555556,11.3269366655,81.90555555555555
AUT,2022,15.3538945,61.275461,0.0,34.85,12.22888888888889,15.893555555555556,11.3269366655,82.65477777777778
AZE,2000,14.9223291,24.252585,31.15,30.15,9.957333333333333,11.591111111111111,9.9666743095,65.23222222222222
AZE,2001,15.34978085,24.5869205,27.6,31.15,10.022333333333334,11.667333333333334,9.9666743095,65.85433333333333
AZE,2002,15.788988,24.950411,24.25,32.150000000000006,10.087444444444444,11.744111111111112,10.1384241365,66.5868888888889
AZE,2003,16.239885299999997,25.3498575,20.95,33.15,10.152666666666669,11.821222222222223,10.451689618,67.10677777777778
AZE,2004,16.70361185,25.7776625,18.1,34.15,10.217888888888888,11.899111111111113,10.8192881985,67.69988888888889
AZE,2005,17.17879155,26.2380745,15.55,35.1,10.282888888888888,11.977333333333332,11.3186499745,67.91722222222222
AZE,2006,17.6663571,26.7316885,13.325,36.05,10.34811111111111,12.056111111111113,11.696427132499998,68.5231111111111
AZE,2007,18.1676643,27.257233999999997,11.35,36.849999999999994,10.413333333333334,12.136333333333331,12.141182151,68.96366666666667
AZE,2008,18.6808375,27.8195675,9.8,37.55,10.425444444444445,12.216888888888889,11.6108170105,69.17266666666666
AZE,2009,19.2026645,28.4144105,8.35,38.15,10.154777777777776,12.297111111111112,11.7213392275,69.72044444444445
AZE,2010,19.7276635,29.041195,7.05,38.7,10.168,12.377444444444444,10.8531266405,69.89444444444445
AZE,2011,20.255423,29.695748,6.1000000000000005,39.15,10.169222222222222,12.458,10.62739555,70.35166666666666
AZE,2012,20.7846625,30.373092,5.25,39.55,10.173555555555556,12.538333333333334,9.152140672,70.72988888888888
AZE,2013,21.3137105,31.059058,4.5,39.85,10.177888888888887,12.618666666666666,8.501118733,71.25333333333333
AZE,2014,21.839685,31.754798,3.85,40.05,10.179333333333334,12.699,8.4561974845,71.48977777777777
AZE,2015,22.3648995,32.448235,3.4,40.3,10.177777777777775,12.779222222222224,8.6570359865,71.82644444444445
AZE,2016,22.892717,33.1299765,2.9,40.5,10.254888888888887,12.859444444444444,8.811599419,72.38244444444445
AZE,2017,23.413335,33.8048935,2.6,40.65,10.244333333333334,12.93988888888889,9.4594097875,72.62766666666667
AZE,2018,23.928047,34.479840499999995,2.25,40.85,10.241666666666667,13.020222222222223,11.20549853,73.14233333333333
AZE,2019,24.4443745,35.1652905,2.0,41.05,10.242777777777778,13.178777777777777,11.20549853,73.48611111111111
AZE,2020,24.9691175,35.856781500000004,1.8,34.85,10.255555555555556,12.348444444444445,13.665585981,67.21944444444445
AZE,2021,25.502909,36.560024,1.6,34.85,10.255555555555556,12.393,11.3269366655,69.73044444444446
AZE,2022,26.0473125,37.26684,1.4,34.85,10.255555555555556,12.425222222222224,11.3269366655,73.87433333333334
BDI,2000,1.579146,20.048606,99.25,12.2,1.9254,4.6171999999999995,17.0269496865,48.047
BDI,2001,1.67733765,20.197939,99.3,12.7,1.977,4.6344,17.0269496865,48.9742
BDI,2002,1.7808256,20.352413,99.4,13.2,2.0286,5.0764,16.3834910295,50.450599999999994
BDI,2003,1.889339,20.5070745,99.45,13.75,2.0805999999999996,5.5448,15.918546519,51.427200000000006
